Bpm:24-P11	Bpm:25-P11
-178.0	 23.71673535 275.3488307 
-163.0	24.4156031 13.2602228
-148.0	27.16314645 34.06668043
-133.0	31.01975962 54.49877872
-118.0	33.47451742 69.7148432 
-103.0	35.22615007 81.16877698
-88.0	36.67181353 88.16830387
-73.0	37.08695937 88.66268872
-58.0	36.26820325 82.75849867
-43.0	34.73615983 72.94276375
-28.0	33.35201978 61.46630805
-13.0	31.92915295 51.01391553
2.0	29.27265887 35.0952754 
17.0	27.63102665 18.68582098
32.0	 23.97203015 356.1380305 
47.0	 20.65924028 334.0029139 
62.0	 17.72616527 315.98973038
77.0	 15.50184585 302.83401445
92.0	 14.67773395 296.88560435
107.0	 13.76243545 294.23501537
122.0	 14.32356207 298.2851253 
137.0	 16.11831612 310.7882533 
152.0	 17.74841252 324.05754047
167.0	 20.677505   341.85717722
