cavity_name trunc slope 
cm1-2 -2085.25 17.6935
cm1-3 -1874.42 19.114
cm1-4 -1856.79 18.8576
cm1-5 -4565.63 51.3322
cm1-6 -4565.63 51.3322
cm2-1 -1442.77 18.3769
cm2-2 -1469.75 18.3694
cm2-3 -1176.61 19.5412
cm2-4 -1430.8 18.404
cm2-5 -3245.86 51.2736
cm2-6 -3245.86 51.2736
cm3-1 -1094.26 18.4613
cm3-2 -1095.18 18.461
cm3-3 -1092.2 18.5849
cm3-4 -1177.23 18.5325
cm3-5 -2925.5 55.8828
cm3-6 -2925.5 55.8828
cm4-1 -1096.39 22.6804
cm4-2 -1357.42 22.818
cm4-3 -1191.12 22.6207
cm4-4 -1964.47 43.4362
cm4-5 -2903.45 59.2399
