Bpm:2-P11	Bpm:3-P11
-178.0	 80.10955768 139.5690759 
-163.0	 83.52383377 156.85551402
-148.0	 87.08175618 174.23025467
-133.0	 90.78510997 191.9978938 
-118.0	 93.39189105 205.70759535
-103.0	 96.44018508 223.55364943
-88.0	 99.06234695 239.6304927 
-73.0	100.77113298 251.37075763
-58.0	101.81126353 257.92190497
-43.0	101.88514655 255.2314906 
-28.0	100.96284442 243.8423763 
-13.0	 98.7426448  228.16763248
2.0	 95.95664925 209.48304705
17.0	 92.54498248 190.0633387 
32.0	 88.8968348 170.7827449
47.0	 84.99764967 151.6262965 
62.0	 82.26425117 137.6365809 
77.0	 78.91355848 119.7608638 
92.0	 76.22396795 104.85145522
107.0	74.34008753 94.7232966 
122.0	73.39388987 91.20725962
137.0	73.46461437 94.60601765
152.0	 74.57492013 104.44702102
167.0	 76.52622933 118.71112013
