CM1-SOL1 HCM1_PS:SOL_01:ISet
CM1-SOL2 HCM1_PS:SOL_02:ISet
CM1-SOL3 HCM1_PS:SOL_03:ISet
CM1-SOL4 HCM1_PS:SOL_04:ISet
CM1-SOL5 HCM1_PS:SOL_05:ISet
CM1-SOL6 HCM1_PS:SOL_06:ISet

CM2-SOL1 HCM2_PS:SOL_01:ISet
CM2-SOL2 HCM2_PS:SOL_02:ISet
CM2-SOL3 HCM2_PS:SOL_03:ISet
CM2-SOL4 HCM2_PS:SOL_04:ISet
CM2-SOL5 HCM2_PS:SOL_05:ISet
CM2-SOL6 HCM2_PS:SOL_06:ISet

CM3-SOL1 HCM3_PS:SOL_01:ISet
CM3-SOL2 HCM3_PS:SOL_02:ISet
CM3-SOL3 HCM3_PS:SOL_03:ISet
CM3-SOL4 HCM3_PS:SOL_04:ISet
CM3-SOL5 HCM3_PS:SOL_05:ISet
CM3-SOL6 HCM3_PS:SOL_06:ISet

CM4-SOL1 HCM4_PS:SOL_01:ISet
CM4-SOL2 HCM4_PS:SOL_02:ISet
CM4-SOL3 HCM4_PS:SOL_03:ISet
CM4-SOL4 HCM4_PS:SOL_04:ISet
CM4-SOL5 HCM4_PS:SOL_05:ISet
